Cycle Number,Remaining Capacity (%)
1,99.03081680102724
51,95.89642302249824
101,94.15093672658831
151,92.80730500223717
201,91.6796801929301
251,90.6931044394907
301,89.80606602825134
351,88.99432626833791
401,88.24085621901378
451,87.5393839052442
501,86.8736960347128
551,86.24409538895124
601,85.64375017192927
651,85.06895531753479
701,84.51651733272018
751,83.98026722312191
801,83.46014206674347
851,82.95515786391023
901,82.46164096446094
951,81.97338941513657
1001,81.48535821257721
1051,80.9967615235962
1101,80.49066360123597
1151,79.93990741620264
